,R,L
1589,0,-4
1590,1,-4
1591,0,-3
1592,0,-2
1593,0,-4
1594,0,-2
1595,1,0
1596,4,3
1597,6,6
1598,8,6
1599,5,4
1600,4,5
1601,2,2
1602,0,-1
1603,1,1
1604,0,1
1605,3,-1
1606,-1,-2
1607,-1,-1
1608,-1,-2
1609,-1,1
1610,-2,1
1611,-3,1
1612,-3,3
1613,-5,2
1614,-4,0
1615,-3,-1
1616,-4,1
1617,0,-1
1618,-1,-4
1619,0,-1
1620,0,-3
1621,4,-2
1622,5,-5
1623,2,-6
1624,0,-3
1625,-2,-5
1626,-3,-4
1627,-6,-6
1628,-4,-4
1629,-3,-4
1630,-5,-1
1631,-2,-1
1632,-2,3
1633,-1,3
1634,-2,0
1635,-3,-2
1636,0,-2
1637,0,1
1638,1,1
1639,1,-2
1640,-4,-4
1641,-4,-4
1642,-9,-2
1643,-9,-2
1644,-3,0
1645,1,3
1646,3,4
1647,2,2
1648,2,3
1649,0,1
1650,0,2
1651,2,2
1652,-1,1
1653,1,3
1654,3,3
1655,1,3
1656,-2,1
1657,1,2
1658,-2,2
1659,-1,3
1660,3,7
1661,5,5
1662,4,5
1663,1,4
1664,0,3
1665,0,3
1666,-1,-1
1667,-2,0
1668,-1,-1
1669,-1,-3
1670,1,1
1671,1,0
1672,3,1
1673,3,5
1674,0,9
1675,3,11
1676,8,12
1677,8,10
1678,8,5
1679,5,3
1680,2,0
1681,0,-3
1682,-2,-6
1683,-5,-8
1684,-5,-8
1685,-3,-6
1686,-2,-5
1687,1,-3
1688,1,-1
1689,1,-3
1690,-1,-3
1691,-3,-4
1692,-6,-7
1693,-5,-9
1694,-5,-10
1695,-5,-8
1696,-4,-7
1697,-3,-8
1698,-4,-8
1699,-6,-5
1700,-5,-3
1701,-2,-3
1702,2,4
1703,5,5
1704,5,4
1705,4,3
1706,2,2
1707,-2,0
1708,0,-2
1709,0,-4
1710,0,-4
1711,3,-5
1712,1,-5
1713,-2,-6
1714,-1,-7
1715,-3,-5
1716,-2,2
1717,2,5
1718,10,11
1719,12,12
1720,11,13
1721,10,14
1722,11,16
1723,9,14
1724,9,12
1725,9,9
1726,7,6
1727,5,2
1728,4,0
1729,1,-3
1730,-2,-4
1731,-3,-3
1732,-4,-6
1733,-7,-7
1734,-8,-9
1735,-9,-10
1736,-13,-9
1737,-12,-10
1738,-14,-8
1739,-13,-7
1740,-10,-6
1741,-3,-5
1742,-4,-4
1743,-2,-6
1744,-5,-6
1745,-7,-7
1746,-7,-10
1747,-10,-7
1748,-8,-3
1749,-3,-1
1750,1,2
1751,2,6
1752,3,7
1753,3,8
1754,3,5
1755,1,2
1756,1,0
1757,0,-5
1758,0,-6
1759,-2,-6
1760,-2,-5
1761,-3,-2
1762,-1,2
1763,1,0
1764,1,1
1765,0,2
1766,-1,2
1767,2,0
1768,2,1
1769,0,4
1770,-1,1
1771,-2,2
1772,-2,4
1773,0,3
1774,4,2
1775,3,-1
1776,3,0
1777,2,-1
1778,-1,-2
1779,-3,-2
1780,-2,0
1781,-3,2
1782,0,4
1783,6,6
1784,8,11
1785,9,14
1786,10,10
1787,7,5
1788,5,4
1789,2,-1
1790,0,-6
1791,-2,-8
1792,-3,-8
1793,-4,-7
1794,-5,-6
1795,-7,-2
1796,-7,-3
1797,-7,-5
1798,-8,-4
1799,-5,-2
1800,0,-2
1801,0,-4
1802,-2,-6
1803,-6,-5
1804,-7,-2
1805,-6,0
1806,-3,0
1807,1,-2
1808,0,-1
1809,-1,-2
1810,1,-2
1811,-4,-4
1812,-6,-6
1813,-8,-6
1814,-6,-3
1815,-4,-2
1816,1,-2
1817,4,-2
1818,1,-1
1819,0,-2
1820,-1,-1
1821,-2,-2
1822,1,-2
1823,-1,-4
1824,-1,-2
1825,-3,1
1826,-3,2
1827,-2,3
1828,-2,2
1829,1,2
1830,1,1
1831,1,1
1832,0,-1
