,R,L
887,-4565,-4813
888,-3059,-3772
889,-1538,-2104
890,-548,-648
891,1380,924
892,2023,2444
893,3309,3565
894,3812,3739
895,3560,4027
896,3264,3637
897,2571,3267
898,2037,3139
899,1845,2710
900,1457,1989
901,809,1048
902,-25,12
903,-795,-691
904,-1148,-980
905,-1198,-1210
906,-1213,-1268
907,-996,-1257
908,-783,-932
909,-323,-483
910,0,-175
911,263,287
912,623,531
913,603,611
914,620,708
915,430,592
916,484,586
917,140,133
918,35,149
919,84,72
920,-215,-218
921,-614,-646
922,-737,-783
923,-572,-913
924,-740,-979
925,-449,-971
926,-423,-869
927,-135,-549
928,65,-248
929,429,39
930,445,222
931,636,582
932,719,727
933,693,897
934,584,806
935,325,799
936,-53,509
937,-262,391
938,-441,71
939,-692,127
940,-745,-87
941,-724,-52
942,-653,-163
943,-442,-446
944,-488,-703
945,-538,-442
946,-409,-281
947,140,-202
948,468,-93
949,689,-18
950,692,115
951,786,196
952,737,159
953,552,54
954,367,88
955,225,108
956,86,1
957,-138,-100
958,-293,-189
959,-512,-267
960,-611,-347
961,-637,-272
962,-536,-200
963,-347,-131
964,-249,-82
965,-50,-11
966,72,17
967,149,-30
968,124,-14
969,107,-10
970,144,5
971,149,-60
972,76,-88
973,-13,-63
974,-32,-31
975,-91,-46
976,-72,13
977,-164,74
978,-170,160
979,-29,219
980,139,326
981,205,360
982,321,438
983,341,464
984,419,458
985,470,466
986,508,371
987,407,237
988,331,126
989,204,-34
990,4,-236
991,-146,-375
992,-313,-513
993,-486,-609
994,-613,-635
995,-592,-612
996,-562,-531
997,-517,-438
998,-443,-354
999,-338,-234
1000,-204,-72
1001,-80,50
1002,32,152
1003,143,248
1004,287,309
1005,358,363
1006,438,402
1007,463,393
1008,469,387
1009,459,344
1010,432,354
1011,364,324
1012,331,292
1013,234,193
1014,105,126
1015,-6,49
1016,-134,-33
1017,-213,-118
1018,-344,-175
1019,-359,-174
1020,-322,-168
1021,-311,-186
1022,-269,-155
1023,-262,-183
1024,-206,-145
1025,-150,-136
1026,-81,-112
1027,-39,-134
1028,26,-106
1029,46,-119
1030,7,-145
1031,13,-117
1032,-5,-126
1033,-30,-91
1034,12,-27
1035,42,14
1036,77,70
1037,126,121
1038,195,198
1039,209,261
1040,173,222
1041,106,168
1042,36,95
1043,-35,-6
1044,-53,-49
1045,-116,-62
1046,-116,-78
1047,-71,-48
1048,-26,-10
1049,75,55
1050,78,66
1051,127,49
1052,88,21
1053,18,-39
1054,-32,-44
1055,-77,-45
1056,-80,-17
1057,-14,0
1058,-29,-31
1059,19,18
1060,43,65
1061,60,89
1062,174,128
1063,-33,-57
1064,-8,-30
1065,-385,-342
1066,-177,-136
1067,-119,-129
1068,18,-18
1069,189,99
1070,102,71
1071,266,272
1072,228,166
1073,104,71
1074,-9,-84
1075,-178,-186
1076,-54,-91
1077,-44,-54
1078,12,-9
1079,-147,-143
1080,-333,-226
1081,-382,-361
1082,-453,-378
1083,-230,-254
1084,-117,-175
1085,-23,-64
1086,-127,-122
1087,-84,11
1088,-5,57
1089,240,249
1090,404,366
1091,415,441
1092,569,612
1093,559,640
1094,521,581
1095,280,356
1096,197,193
1097,2,33
1098,50,28
1099,-118,-124
1100,-218,-224
1101,-377,-362
1102,-446,-456
1103,-474,-555
1104,-402,-481
1105,-337,-477
1106,-315,-379
1107,-274,-325
1108,-250,-224
1109,-147,-88
1110,7,80
1111,163,227
1112,253,284
1113,344,433
1114,398,469
1115,431,470
1116,355,366
1117,261,304
1118,125,169
1119,55,38
1120,-54,-64
1121,-99,-138
1122,-130,-176
1123,-128,-186
1124,-68,-159
1125,-92,-169
1126,-33,-101
1127,-110,-149
1128,-8,-69
1129,-12,-64
1130,10,25
1131,83,101
1132,125,123
1133,145,155
1134,105,105
1135,92,123
1136,51,54
1137,-25,12
1138,-24,-37
1139,-114,-136
1140,-164,-120
1141,-129,-150
1142,-149,-131
1143,-162,-193
1144,-172,-138
1145,-99,-90
1146,-91,-43
1147,-31,3
1148,31,48
1149,98,149
1150,147,174
1151,197,194
1152,164,215
1153,216,151
1154,74,107
1155,35,42
1156,-99,-126
1157,-128,-146
1158,-70,-209
1159,-142,-145
1160,-39,-240
1161,-202,-113
1162,-131,-135
1163,-175,-105
1164,-56,-105
1165,-78,-51
1166,-37,66
1167,24,35
1168,21,121
1169,128,95
1170,199,192
1171,170,196
1172,81,167
1173,48,83
1174,8,17
1175,32,-20
1176,37,-27
1177,-60,-51
1178,-68,-60
1179,-83,-55
1180,8,-42
