,R,L
1691,-3,5
1692,-15,5
1693,-16,10
1694,-5,15
1695,12,15
1696,24,9
1697,22,0
1698,6,-5
1699,-13,-4
1700,-25,3
1701,-21,12
1702,-4,16
1703,14,13
1704,22,6
1705,15,-3
1706,-1,-9
1707,-17,-10
1708,-23,-5
1709,-17,0
1710,-5,3
1711,5,0
1712,9,-7
1713,6,-14
1714,-1,-16
1715,-6,-10
1716,-9,-1
1717,-9,5
1718,-10,3
1719,-13,-10
1720,-17,-24
1721,-21,-33
1722,-24,-30
1723,-25,-20
1724,-23,-11
1725,-19,-10
1726,-14,-18
1727,-8,-26
1728,-6,-25
1729,-7,-14
1730,-11,2
1731,-13,11
1732,-11,8
1733,-4,-2
1734,5,-10
1735,10,-9
1736,7,1
1737,-1,13
1738,-8,18
1739,-8,14
1740,1,5
1741,12,-4
1742,17,-7
1743,10,-5
1744,-3,-2
1745,-15,0
1746,-17,1
1747,-10,3
1748,2,5
1749,8,8
1750,7,7
1751,-1,3
1752,-6,-5
1753,-4,-10
1754,4,-11
1755,11,-5
1756,10,2
1757,2,6
1758,-9,6
1759,-16,2
1760,-14,-1
1761,-6,0
1762,5,5
1763,10,10
1764,9,11
1765,3,8
1766,-4,4
1767,-8,4
1768,-8,7
1769,-5,11
1770,1,12
1771,5,7
1772,8,0
1773,6,-3
1774,2,2
1775,-3,12
1776,-6,20
1777,-4,20
1778,1,12
1779,5,2
1780,6,-1
1781,4,8
1782,3,25
1783,8,39
1784,18,42
1785,30,34
1786,37,21
1787,34,12
1788,23,14
1789,10,22
1790,5,31
1791,10,33
1792,20,27
1793,26,17
1794,21,7
1795,7,1
1796,-7,0
1797,-13,1
1798,-9,3
1799,2,4
1800,10,4
1801,10,2
1802,3,-2
1803,-5,-5
1804,-9,-7
1805,-7,-4
1806,-1,0
1807,1,2
1808,-1,0
1809,-6,-7
1810,-10,-14
1811,-11,-16
1812,-9,-11
1813,-8,-3
1814,-8,3
1815,-9,2
1816,-7,-6
1817,-3,-13
1818,4,-14
1819,9,-7
1820,8,4
1821,2,13
1822,-5,12
1823,-7,3
1824,-1,-8
1825,10,-14
1826,18,-12
